year,crude_oil,change,bbm_ina
2015-07-01,47,-12,8400
2015-08-03,49,2,8400
2015-09-01,45,-4,8400
2015-10-01,47,2,8400
2015-11-02,42,-5,8400
2015-12-01,37,-5,8400
2016-01-01,34,-3,7950
2016-02-01,34,0,7600
2016-03-01,38,5,7300
2016-04-01,46,8,7100
2016-05-02,49,3,6900
2016-06-01,48,-1,6900
2016-07-01,42,-7,6900
2016-08-01,45,3,6900
2016-09-01,48,4,6900
2016-10-03,47,-1,6900
2016-11-01,49,3,6900
2016-12-01,54,4,7050
2017-01-02,53,-1,7350
2017-02-01,54,1,7350
2017-03-01,51,-3,7200
2017-04-02,49,-1,7500
2017-05-01,48,-1,7500
2017-06-01,46,-2,7500
2017-07-03,50,4,7500
2017-08-01,47,-3,7500
2017-09-01,52,4,7500
2017-10-01,54,3,7500
2017-11-01,57,3,7500
2017-12-01,60,3,7500
2018-01-01,65,4,7800
2018-02-01,62,-3,7800
2018-03-01,65,3,7800
2018-04-01,69,4,7800
2018-05-01,67,-2,7800
2018-06-01,74,7,7800
2018-07-01,69,-5,7800
2018-08-01,70,1,7800
2018-09-01,74,4,7800
2018-10-01,65,-8,7800
2018-11-01,51,-14,7800
2018-12-01,45,-6,7800
2019-01-02,54,8,7850
2019-02-01,57,3,7650
2019-03-01,60,3,7650
2019-04-01,64,4,7650
2019-05-01,54,-10,7650
2019-06-02,59,6,7650
2019-07-01,59,-1,7650
2019-08-01,55,-3,7650
2019-09-01,54,-1,7650
2019-10-01,54,0,7650
2019-11-01,55,1,7650
2019-12-01,61,5,7650
2020-01-01,52,-9,7650
2020-02-03,45,-7,7650
2020-03-02,20,-24,7650
2020-04-01,19,-2,7650
2020-05-01,35,17,7650
2020-06-01,39,4,7650
2020-07-01,40,1,7650
2020-08-03,43,2,7650
2020-09-01,40,-2,7650
2020-10-01,36,-4,7650
2020-11-02,45,10,7650
2020-12-01,49,3,7650
2021-01-04,52,4,7650
2021-02-01,62,9,7650
2021-03-01,59,-2,7650
2021-04-01,64,4,7650
2021-05-03,67,3,7650
2021-06-01,73,7,7650
2021-07-01,74,0,7650
2021-08-02,69,-5,7650
2021-09-01,75,7,7650
2021-10-01,82,7,7650
2021-11-01,66,-16,7650
2021-12-01,75,9,7650
2022-01-03,86,12,7650
2022-02-01,94,7,7650
2022-03-01,99,5,7650
2022-04-01,103,4,7650
2022-05-02,112,9,7650
2022-06-01,103,-9,7650
2022-07-01,97,-6,7650
2022-08-01,89,-8,7650
2022-09-01,81,-8,10000
2022-10-01,93,12,10000
2022-11-01,90,-3,10000
2022-12-01,75,-15,10000
